0:04:20;0:04:10;0:04:00;0:03:50;0:03:40;0:03:40;0:03:30;0:03:20;0:03:10;0:03:10;0:03:00;0:02:50;0:02:50;0:02:40;0:02:40;0:02:30;0:02:20;0:02:20;0:02:10;0:02:10;
0:10:20;0:09:50;0:09:30;0:09:10;0:08:50;0:08:30;0:08:10;0:08:00;0:07:40;0:07:20;0:07:10;0:06:50;0:06:40;0:06:20;0:06:10;0:06:00;0:05:40;0:05:30;0:05:20;0:05:10;
0:19:50;0:19:00;0:18:20;0:17:40;0:17:00;0:16:30;0:15:50;0:15:20;0:14:40;0:14:10;0:13:40;0:13:10;0:12:40;0:12:20;0:11:50;0:11:20;0:11:00;0:10:40;0:10:10;0:09:50;
0:35:00;0:33:40;0:32:30;0:31:20;0:30:10;0:29:10;0:28:00;0:27:00;0:26:00;0:25:10;0:24:10;0:23:20;0:22:30;0:21:40;0:21:00;0:20:10;0:19:30;0:18:40;0:18:00;0:17:20;
0:59:20;0:57:10;0:55:00;0:53:00;0:51:10;0:49:20;0:47:30;0:45:50;0:44:10;0:42:40;0:41:00;0:39:40;0:38:10;0:36:50;0:35:30;0:34:10;0:33:00;0:31:50;0:30:40;0:29:30;
1:38:10;1:34:40;1:31:10;1:27:50;1:24:50;1:21:40;1:18:50;1:16:00;1:13:10;1:10:30;1:08:00;1:05:30;1:03:10;1:01:00;0:58:40;0:56:40;0:54:40;0:52:40;0:50:40;0:48:50;
2:40:20;2:34:30;2:29:00;2:23:40;2:18:30;2:13:30;2:08:40;2:04:00;1:59:40;1:55:20;1:51:10;1:47:10;1:43:20;1:39:30;1:36:00;1:32:30;1:29:10;1:26:00;1:22:50;1:19:50;
4:19:50;4:10:30;4:01:30;3:52:50;3:44:30;3:36:20;3:28:30;3:21:00;3:13:50;3:06:50;3:00:10;2:53:40;2:47:20;2:41:20;2:35:30;2:30:00;2:24:30;2:19:20;2:14:20;2:09:30;
6:59:10;6:44:00;6:29:30;6:15:30;6:02:00;5:49:00;5:36:20;5:24:20;5:12:40;5:01:20;4:50:30;4:40:00;4:30:00;4:20:10;4:10:50;4:01:50;3:53:10;3:44:40;3:36:40;3:28:50;
11:14:00;10:49:40;10:26:20;10:03:50;9:42:00;9:21:10;9:00:50;8:41:30;8:22:40;8:04:30;7:47:10;7:30:20;7:14:10;6:58:30;6:43:20;6:28:50;6:14:50;6:01:20;5:48:20;5:35:50;
